,node,port,wire
4080,sky130_fd_sc_hd__o21ba_2 U4670,"['A1', 'A2', 'B1_N', 'X']","['n6065', 'n6067', 'n6068', 'n6069']"
4081,sky130_fd_sc_hd__o21ai_2 U4671,"['A1', 'A2', 'B1', 'Y']","['n6063', 'n6064', 'n6069', 'n6070']"
4082,sky130_fd_sc_hd__o211a_2 U4672,"['A1', 'A2', 'B1', 'C1', 'X']","['n6048', '\\reg_next_pc[19]', 'n6058', 'n6070', 'n598']"
4083,sky130_fd_sc_hd__nand2_2 U4673,"['A', 'B', 'Y']","['\\decoded_imm_j[20]', 'n5818', 'n6071']"
4084,sky130_fd_sc_hd__or2_2 U4674,"['A', 'B', 'X']","['\\decoded_imm_j[20]', 'n5817', 'n6072']"
4085,sky130_fd_sc_hd__and2_2 U4675,"['A', 'B', 'X']","['n6071', 'n6072', 'n6073']"
4086,sky130_fd_sc_hd__or3_2 U4676,"['A', 'B', 'C', 'X']","['n6059', 'n6063', 'n6073', 'n6074']"
4087,sky130_fd_sc_hd__o21ai_2 U4677,"['A1', 'A2', 'B1', 'Y']","['n6059', 'n6063', 'n6073', 'n6075']"
4088,sky130_fd_sc_hd__a21oi_2 U4678,"['A1', 'A2', 'B1', 'Y']","['n5818', 'n6065', 'n2211', 'n6076']"
4089,sky130_fd_sc_hd__o21a_2 U4679,"['A1', 'A2', 'B1', 'X']","['n5818', 'n6065', 'n6076', 'n6077']"
4090,sky130_fd_sc_hd__or2_2 U468,"['A', 'B', 'X']","['latched_is_lb', 'latched_is_lh', 'n2558']"
4091,sky130_fd_sc_hd__a31o_2 U4680,"['A1', 'A2', 'A3', 'B1', 'X']","['n5952', 'n6074', 'n6075', 'n6077', 'n6078']"
4092,sky130_fd_sc_hd__mux2_2 U4681,"['A0', 'A1', 'S', 'X']","['n5818', 'n6078', 'n5914', 'n6079']"
4093,sky130_fd_sc_hd__or2_2 U4682,"['A', 'B', 'X']","['n5901', '\\reg_next_pc[20]', 'n6080']"
4094,sky130_fd_sc_hd__o211a_2 U4683,"['A1', 'A2', 'B1', 'C1', 'X']","['n5839', 'n6079', 'n6080', 'n5856', 'n599']"
4095,sky130_fd_sc_hd__buf_1 U4684,"['A', 'X']","['\\decoded_imm_j[20]', 'n6081']"
4096,sky130_fd_sc_hd__xor2_2 U4685,"['A', 'B', 'X']","['n6081', 'n5820', 'n6082']"
4097,sky130_fd_sc_hd__and4_2 U4686,"['A', 'B', 'C', 'D', 'X']","['n6041', 'n6051', 'n6061', 'n6073', 'n6083']"
4098,sky130_fd_sc_hd__a21o_2 U4687,"['A1', 'A2', 'B1', 'X']","['n6040', 'n6050', 'n6049', 'n6084']"
4099,sky130_fd_sc_hd__a21bo_2 U4688,"['A1', 'A2', 'B1_N', 'X']","['n6059', 'n6072', 'n6071', 'n6085']"
4100,sky130_fd_sc_hd__a31o_2 U4689,"['A1', 'A2', 'A3', 'B1', 'X']","['n6061', 'n6073', 'n6084', 'n6085', 'n6086']"
4101,sky130_fd_sc_hd__buf_1 U469,"['A', 'X']","['n2558', 'n2559']"
4102,sky130_fd_sc_hd__a21oi_2 U4690,"['A1', 'A2', 'B1', 'Y']","['n6038', 'n6083', 'n6086', 'n6087']"
4103,sky130_fd_sc_hd__xor2_2 U4691,"['A', 'B', 'X']","['n6082', 'n6087', 'n6088']"
4104,sky130_fd_sc_hd__and3_2 U4692,"['A', 'B', 'C', 'X']","['n5818', 'n5820', 'n6065', 'n6089']"
4105,sky130_fd_sc_hd__o21ba_2 U4693,"['A1', 'A2', 'B1_N', 'X']","['n5862', 'n6076', 'n5820', 'n6090']"
4106,sky130_fd_sc_hd__a221o_2 U4694,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n5858', 'n6088', 'n6089', 'n6066', 'n6090', 'n6091']"
4107,sky130_fd_sc_hd__nand2_2 U4695,"['A', 'B', 'Y']","['n5956', 'n6091', 'n6092']"
4108,sky130_fd_sc_hd__o211a_2 U4696,"['A1', 'A2', 'B1', 'C1', 'X']","['n6048', '\\reg_next_pc[21]', 'n6058', 'n6092', 'n600']"
4109,sky130_fd_sc_hd__buf_1 U4697,"['A', 'X']","['n6081', 'n6093']"
4110,sky130_fd_sc_hd__buf_1 U4698,"['A', 'X']","['n6093', 'n6094']"
4111,sky130_fd_sc_hd__and2b_2 U4699,"['A_N', 'B', 'X']","['n6087', 'n6082', 'n6095']"
4112,sky130_fd_sc_hd__buf_1 U47,"['A', 'X']","['n2167', 'mem_la_read']"
4113,sky130_fd_sc_hd__a32o_2 U470,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n2188', 'n2194', 'mem_rdata[31]', 'mem_rdata[15]', 'n2281', 'n2560']"
4114,sky130_fd_sc_hd__a21o_2 U4700,"['A1', 'A2', 'B1', 'X']","['n6094', 'n5820', 'n6095', 'n6096']"
4115,sky130_fd_sc_hd__xor2_2 U4701,"['A', 'B', 'X']","['n6081', 'n5822', 'n6097']"
4116,sky130_fd_sc_hd__and2_2 U4702,"['A', 'B', 'X']","['n6096', 'n6097', 'n6098']"
4117,sky130_fd_sc_hd__o21ai_2 U4703,"['A1', 'A2', 'B1', 'Y']","['n6096', 'n6097', 'n5906', 'n6099']"
4118,sky130_fd_sc_hd__nor2_2 U4704,"['A', 'B', 'Y']","['n5823', 'n6089', 'n6100']"
4119,sky130_fd_sc_hd__nand2_2 U4705,"['A', 'B', 'Y']","['n5822', 'n6089', 'n6101']"
4120,sky130_fd_sc_hd__or3b_2 U4706,"['A', 'B', 'C_N', 'X']","['n5885', 'n6100', 'n6101', 'n6102']"
4121,sky130_fd_sc_hd__o21a_2 U4707,"['A1', 'A2', 'B1', 'X']","['n6098', 'n6099', 'n6102', 'n6103']"
4122,sky130_fd_sc_hd__a21oi_2 U4708,"['A1', 'A2', 'B1', 'Y']","['n5863', 'n5823', 'n5813', 'n6104']"
4123,sky130_fd_sc_hd__o21ai_2 U4709,"['A1', 'A2', 'B1', 'Y']","['n5863', 'n6103', 'n6104', 'n6105']"
4124,sky130_fd_sc_hd__a21oi_2 U471,"['A1', 'A2', 'B1', 'Y']","['latched_is_lh', 'n2560', 'n2445', 'n2561']"
4125,sky130_fd_sc_hd__o211a_2 U4710,"['A1', 'A2', 'B1', 'C1', 'X']","['n6048', '\\reg_next_pc[22]', 'n6058', 'n6105', 'n601']"
4126,sky130_fd_sc_hd__nand2_2 U4711,"['A', 'B', 'Y']","['\\decoded_imm_j[20]', 'n5827', 'n6106']"
4127,sky130_fd_sc_hd__or2_2 U4712,"['A', 'B', 'X']","['\\decoded_imm_j[20]', 'n5826', 'n6107']"
4128,sky130_fd_sc_hd__nand2_2 U4713,"['A', 'B', 'Y']","['n6106', 'n6107', 'n6108']"
4129,sky130_fd_sc_hd__buf_1 U4714,"['A', 'X']","['n6094', 'n6109']"
4130,sky130_fd_sc_hd__o21a_2 U4715,"['A1', 'A2', 'B1', 'X']","['n6094', 'n5822', 'n6096', 'n6110']"
4131,sky130_fd_sc_hd__a21oi_2 U4716,"['A1', 'A2', 'B1', 'Y']","['n6109', 'n5823', 'n6110', 'n6111']"
4132,sky130_fd_sc_hd__or2_2 U4717,"['A', 'B', 'X']","['n6108', 'n6111', 'n6112']"
4133,sky130_fd_sc_hd__nand2_2 U4718,"['A', 'B', 'Y']","['n6108', 'n6111', 'n6113']"
4134,sky130_fd_sc_hd__and3_2 U4719,"['A', 'B', 'C', 'X']","['n5858', 'n6112', 'n6113', 'n6114']"
4135,sky130_fd_sc_hd__nand2_2 U472,"['A', 'B', 'Y']","['n2559', 'n2561', 'n2562']"
4136,sky130_fd_sc_hd__a21o_2 U4720,"['A1', 'A2', 'B1', 'X']","['n5823', 'n6089', 'n5827', 'n6115']"
4137,sky130_fd_sc_hd__or2b_2 U4721,"['A', 'B_N', 'X']","['n6101', 'n5827', 'n6116']"
4138,sky130_fd_sc_hd__a32o_2 U4722,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n2233', 'n6115', 'n6116', 'n5879', 'n5828', 'n6117']"
4139,sky130_fd_sc_hd__o221a_2 U4723,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n5902', '\\reg_next_pc[23]', 'n6114', 'n6117', 'n5766', 'n602']"
4140,sky130_fd_sc_hd__xor2_2 U4724,"['A', 'B', 'X']","['\\decoded_imm_j[20]', 'n5830', 'n6118']"
4141,sky130_fd_sc_hd__o21a_2 U4725,"['A1', 'A2', 'B1', 'X']","['n6108', 'n6111', 'n6106', 'n6119']"
4142,sky130_fd_sc_hd__xor2_2 U4726,"['A', 'B', 'X']","['n6118', 'n6119', 'n6120']"
4143,sky130_fd_sc_hd__inv_2 U4727,"['A', 'Y']","['n5830', 'n6121']"
4144,sky130_fd_sc_hd__a41o_2 U4728,"['A1', 'A2', 'A3', 'A4', 'B1', 'X']","['n5823', 'n5827', 'n6121', 'n6089', 'n5905', 'n6122']"
4145,sky130_fd_sc_hd__a21oi_2 U4729,"['A1', 'A2', 'B1', 'Y']","['n5830', 'n6116', 'n6122', 'n6123']"
4146,sky130_fd_sc_hd__nand2_2 U473,"['A', 'B', 'Y']","['n2258', 'n2562', 'n2563']"
4147,sky130_fd_sc_hd__a21o_2 U4730,"['A1', 'A2', 'B1', 'X']","['n5926', 'n6120', 'n6123', 'n6124']"
4148,sky130_fd_sc_hd__a22o_2 U4731,"['A1', 'A2', 'B1', 'B2', 'X']","['n5879', 'n5831', 'n6124', 'n5888', 'n6125']"
4149,sky130_fd_sc_hd__o211a_2 U4732,"['A1', 'A2', 'B1', 'C1', 'X']","['n6048', '\\reg_next_pc[24]', 'n6058', 'n6125', 'n603']"
4150,sky130_fd_sc_hd__buf_1 U4733,"['A', 'X']","['n2200', 'n6126']"
4151,sky130_fd_sc_hd__buf_1 U4734,"['A', 'X']","['n6126', 'n6127']"
4152,sky130_fd_sc_hd__nor2_2 U4735,"['A', 'B', 'Y']","['n6108', 'n6118', 'n6128']"
4153,sky130_fd_sc_hd__and3_2 U4736,"['A', 'B', 'C', 'X']","['n6082', 'n6097', 'n6128', 'n6129']"
4154,sky130_fd_sc_hd__and2_2 U4737,"['A', 'B', 'X']","['n6083', 'n6129', 'n6130']"
4155,sky130_fd_sc_hd__o41a_2 U4738,"['A1', 'A2', 'A3', 'A4', 'B1', 'X']","['n5820', 'n5822', 'n5827', 'n6121', 'n6081', 'n6131']"
4156,sky130_fd_sc_hd__a21o_2 U4739,"['A1', 'A2', 'B1', 'X']","['n6086', 'n6129', 'n6131', 'n6132']"
4157,sky130_fd_sc_hd__buf_1 U474,"['A', 'X']","['n2558', 'n2564']"
4158,sky130_fd_sc_hd__a21oi_2 U4740,"['A1', 'A2', 'B1', 'Y']","['n6038', 'n6130', 'n6132', 'n6133']"
4159,sky130_fd_sc_hd__xor2_2 U4741,"['A', 'B', 'X']","['n6081', 'n5832', 'n6134']"
4160,sky130_fd_sc_hd__or2b_2 U4742,"['A', 'B_N', 'X']","['n6133', 'n6134', 'n6135']"
4161,sky130_fd_sc_hd__or2b_2 U4743,"['A', 'B_N', 'X']","['n6134', 'n6133', 'n6136']"
4162,sky130_fd_sc_hd__and3b_2 U4744,"['A_N', 'B', 'C', 'X']","['n6116', 'n5832', 'n6121', 'n6137']"
4163,sky130_fd_sc_hd__o21ai_2 U4745,"['A1', 'A2', 'B1', 'Y']","['n5926', 'n6137', 'n5587', 'n6138']"
4164,sky130_fd_sc_hd__a311o_2 U4746,"['A1', 'A2', 'A3', 'B1', 'C1', 'X']","['n5890', 'n6135', 'n6136', 'n6138', 'n5916', 'n6139']"
4165,sky130_fd_sc_hd__a211o_2 U4747,"['A1', 'A2', 'B1', 'C1', 'X']","['n5888', 'n6122', 'n5832', 'n5813', 'n6140']"
4166,sky130_fd_sc_hd__o2111a_2 U4748,"['A1', 'A2', 'B1', 'C1', 'D1', 'X']","['n5902', '\\reg_next_pc[25]', 'n6127', 'n6139', 'n6140', 'n604']"
4167,sky130_fd_sc_hd__a21oi_2 U4749,"['A1', 'A2', 'B1', 'Y']","['n5837', 'n6137', 'n5905', 'n6141']"
4168,sky130_fd_sc_hd__nor2_2 U475,"['A', 'B', 'Y']","['n2564', 'n2560', 'n2565']"
4169,sky130_fd_sc_hd__or2_2 U4750,"['A', 'B', 'X']","['n5837', 'n6137', 'n6142']"
4170,sky130_fd_sc_hd__xnor2_2 U4751,"['A', 'B', 'Y']","['n6093', 'n5836', 'n6143']"
4171,sky130_fd_sc_hd__a21bo_2 U4752,"['A1', 'A2', 'B1_N', 'X']","['n6109', 'n5832', 'n6135', 'n6144']"
4172,sky130_fd_sc_hd__xnor2_2 U4753,"['A', 'B', 'Y']","['n6143', 'n6144', 'n6145']"
4173,sky130_fd_sc_hd__a22o_2 U4754,"['A1', 'A2', 'B1', 'B2', 'X']","['n6141', 'n6142', 'n6145', 'n5952', 'n6146']"
4174,sky130_fd_sc_hd__mux2_2 U4755,"['A0', 'A1', 'S', 'X']","['n5837', 'n6146', 'n5914', 'n6147']"
4175,sky130_fd_sc_hd__or2_2 U4756,"['A', 'B', 'X']","['n5901', '\\reg_next_pc[26]', 'n6148']"
4176,sky130_fd_sc_hd__o211a_2 U4757,"['A1', 'A2', 'B1', 'C1', 'X']","['n5839', 'n6147', 'n6148', 'n5856', 'n605']"
4177,sky130_fd_sc_hd__and2_2 U4758,"['A', 'B', 'X']","['n6081', 'n5840', 'n6149']"
4178,sky130_fd_sc_hd__nor2_2 U4759,"['A', 'B', 'Y']","['n6093', 'n5840', 'n6150']"
4179,sky130_fd_sc_hd__buf_1 U476,"['A', 'X']","['pcpi_rs1[15]', 'n2566']"
4180,sky130_fd_sc_hd__nor2_2 U4760,"['A', 'B', 'Y']","['n6149', 'n6150', 'n6151']"
4181,sky130_fd_sc_hd__o21a_2 U4761,"['A1', 'A2', 'B1', 'X']","['n5832', 'n5837', 'n6093', 'n6152']"
4182,sky130_fd_sc_hd__nor2_2 U4762,"['A', 'B', 'Y']","['n6135', 'n6143', 'n6153']"
4183,sky130_fd_sc_hd__or2_2 U4763,"['A', 'B', 'X']","['n6152', 'n6153', 'n6154']"
4184,sky130_fd_sc_hd__xnor2_2 U4764,"['A', 'B', 'Y']","['n6151', 'n6154', 'n6155']"
4185,sky130_fd_sc_hd__and3_2 U4765,"['A', 'B', 'C', 'X']","['n5837', 'n5840', 'n6137', 'n6156']"
4186,sky130_fd_sc_hd__o21ba_2 U4766,"['A1', 'A2', 'B1_N', 'X']","['n5862', 'n6141', 'n5840', 'n6157']"
4187,sky130_fd_sc_hd__a221o_2 U4767,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n5852', 'n6155', 'n6156', 'n6066', 'n6157', 'n6158']"
4188,sky130_fd_sc_hd__nand2_2 U4768,"['A', 'B', 'Y']","['n5956', 'n6158', 'n6159']"
4189,sky130_fd_sc_hd__o211a_2 U4769,"['A1', 'A2', 'B1', 'C1', 'X']","['n6048', '\\reg_next_pc[27]', 'n6058', 'n6159', 'n606']"
4190,sky130_fd_sc_hd__buf_1 U477,"['A', 'X']","['n2566', 'n2567']"
4191,sky130_fd_sc_hd__nor2_2 U4770,"['A', 'B', 'Y']","['n5842', 'n6156', 'n6160']"
4192,sky130_fd_sc_hd__a21o_2 U4771,"['A1', 'A2', 'B1', 'X']","['n5842', 'n6156', 'n5905', 'n6161']"
4193,sky130_fd_sc_hd__xor2_2 U4772,"['A', 'B', 'X']","['n6093', 'n5842', 'n6162']"
4194,sky130_fd_sc_hd__a21oi_2 U4773,"['A1', 'A2', 'B1', 'Y']","['n6151', 'n6154', 'n6149', 'n6163']"
4195,sky130_fd_sc_hd__xnor2_2 U4774,"['A', 'B', 'Y']","['n6162', 'n6163', 'n6164']"
4196,sky130_fd_sc_hd__a2bb2o_2 U4775,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n6160', 'n6161', 'n6164', 'n5906', 'n6165']"
4197,sky130_fd_sc_hd__a22o_2 U4776,"['A1', 'A2', 'B1', 'B2', 'X']","['n5879', 'n5843', 'n6165', 'n5888', 'n6166']"
4198,sky130_fd_sc_hd__o211a_2 U4777,"['A1', 'A2', 'B1', 'C1', 'X']","['n5850', '\\reg_next_pc[28]', 'n6058', 'n6166', 'n607']"
4199,sky130_fd_sc_hd__o21a_2 U4778,"['A1', 'A2', 'B1', 'X']","['n5840', 'n5842', 'n6093', 'n6167']"
4200,sky130_fd_sc_hd__a311o_2 U4779,"['A1', 'A2', 'A3', 'B1', 'C1', 'X']","['n6151', 'n6153', 'n6162', 'n6167', 'n6152', 'n6168']"
4201,sky130_fd_sc_hd__a2bb2o_2 U478,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n2563', 'n2565', 'n2386', 'n2567', 'n2568']"
4202,sky130_fd_sc_hd__and2_2 U4780,"['A', 'B', 'X']","['n6094', 'n5844', 'n6169']"
4203,sky130_fd_sc_hd__nor2_2 U4781,"['A', 'B', 'Y']","['n6094', 'n5844', 'n6170']"
4204,sky130_fd_sc_hd__nor2_2 U4782,"['A', 'B', 'Y']","['n6169', 'n6170', 'n6171']"
4205,sky130_fd_sc_hd__xnor2_2 U4783,"['A', 'B', 'Y']","['n6168', 'n6171', 'n6172']"
4206,sky130_fd_sc_hd__and3_2 U4784,"['A', 'B', 'C', 'X']","['n5842', 'n5844', 'n6156', 'n6173']"
4207,sky130_fd_sc_hd__a21oi_2 U4785,"['A1', 'A2', 'B1', 'Y']","['n2214', 'n6161', 'n5844', 'n6174']"
4208,sky130_fd_sc_hd__a221o_2 U4786,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n5852', 'n6172', 'n6173', 'n6066', 'n6174', 'n6175']"
4209,sky130_fd_sc_hd__nand2_2 U4787,"['A', 'B', 'Y']","['n5956', 'n6175', 'n6176']"
4210,sky130_fd_sc_hd__o211a_2 U4788,"['A1', 'A2', 'B1', 'C1', 'X']","['n5850', '\\reg_next_pc[29]', 'n5904', 'n6176', 'n608']"
4211,sky130_fd_sc_hd__a21o_2 U4789,"['A1', 'A2', 'B1', 'X']","['n6168', 'n6171', 'n6169', 'n6177']"
4212,sky130_fd_sc_hd__buf_1 U479,"['A', 'X']","['n2348', 'n2569']"
4213,sky130_fd_sc_hd__and2_2 U4790,"['A', 'B', 'X']","['n6109', 'n5846', 'n6178']"
4214,sky130_fd_sc_hd__or2_2 U4791,"['A', 'B', 'X']","['n6094', 'n5846', 'n6179']"
4215,sky130_fd_sc_hd__or2b_2 U4792,"['A', 'B_N', 'X']","['n6178', 'n6179', 'n6180']"
4216,sky130_fd_sc_hd__and2_2 U4793,"['A', 'B', 'X']","['n6177', 'n6180', 'n6181']"
4217,sky130_fd_sc_hd__o21ai_2 U4794,"['A1', 'A2', 'B1', 'Y']","['n6177', 'n6180', 'n5890', 'n6182']"
4218,sky130_fd_sc_hd__nor2_2 U4795,"['A', 'B', 'Y']","['n5846', 'n6173', 'n6183']"
4219,sky130_fd_sc_hd__and2_2 U4796,"['A', 'B', 'X']","['n5846', 'n6173', 'n6184']"
4220,sky130_fd_sc_hd__nor2_2 U4797,"['A', 'B', 'Y']","['n6183', 'n6184', 'n6185']"
4221,sky130_fd_sc_hd__o221a_2 U4798,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n6181', 'n6182', 'n6185', 'n5890', 'n5914', 'n6186']"
4222,sky130_fd_sc_hd__a21o_2 U4799,"['A1', 'A2', 'B1', 'X']","['n5863', 'n5846', 'n5813', 'n6187']"
4223,sky130_fd_sc_hd__nand2_2 U48,"['A', 'B', 'Y']","['mem_do_wdata', 'n2165', 'n2168']"
4224,sky130_fd_sc_hd__a211o_2 U480,"['A1', 'A2', 'B1', 'C1', 'X']","['n2378', 'n2557', 'n2568', 'n2569', 'n2570']"
4225,sky130_fd_sc_hd__o221a_2 U4800,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n5902', '\\reg_next_pc[30]', 'n6186', 'n6187', 'n5766', 'n609']"
4226,sky130_fd_sc_hd__or2_2 U4801,"['A', 'B', 'X']","['n5848', 'n6184', 'n6188']"
4227,sky130_fd_sc_hd__a21oi_2 U4802,"['A1', 'A2', 'B1', 'Y']","['n5848', 'n6184', 'n5885', 'n6189']"
4228,sky130_fd_sc_hd__a21o_2 U4803,"['A1', 'A2', 'B1', 'X']","['n6177', 'n6179', 'n6178', 'n6190']"
4229,sky130_fd_sc_hd__xnor2_2 U4804,"['A', 'B', 'Y']","['n6109', 'n5848', 'n6191']"
4230,sky130_fd_sc_hd__xnor2_2 U4805,"['A', 'B', 'Y']","['n6190', 'n6191', 'n6192']"
4231,sky130_fd_sc_hd__a22o_2 U4806,"['A1', 'A2', 'B1', 'B2', 'X']","['n6188', 'n6189', 'n6192', 'n5952', 'n6193']"
4232,sky130_fd_sc_hd__mux2_2 U4807,"['A0', 'A1', 'S', 'X']","['n5848', 'n6193', 'n5914', 'n6194']"
4233,sky130_fd_sc_hd__or2_2 U4808,"['A', 'B', 'X']","['\\reg_next_pc[31]', 'n5901', 'n6195']"
4234,sky130_fd_sc_hd__o211a_2 U4809,"['A1', 'A2', 'B1', 'C1', 'X']","['n5757', 'n6194', 'n6195', 'n5856', 'n610']"
4235,sky130_fd_sc_hd__o21a_2 U481,"['A1', 'A2', 'B1', 'X']","['n2520', 'n2552', 'n2570', 'n7652']"
4236,sky130_fd_sc_hd__nor2_2 U4810,"['A', 'B', 'Y']","['n2273', 'n2230', 'n611']"
4237,sky130_fd_sc_hd__o21ai_2 U4811,"['A1', 'A2', 'B1', 'Y']","['n2273', '\\count_cycle[1]', 'n5728', 'n6196']"
4238,sky130_fd_sc_hd__a21oi_2 U4812,"['A1', 'A2', 'B1', 'Y']","['n2273', '\\count_cycle[1]', 'n6196', 'n612']"
4239,sky130_fd_sc_hd__and3_2 U4813,"['A', 'B', 'C', 'X']","['n2273', '\\count_cycle[1]', '\\count_cycle[2]', 'n6197']"
4240,sky130_fd_sc_hd__buf_1 U4814,"['A', 'X']","['n5589', 'n6198']"
4241,sky130_fd_sc_hd__a21o_2 U4815,"['A1', 'A2', 'B1', 'X']","['n2273', '\\count_cycle[1]', '\\count_cycle[2]', 'n6199']"
4242,sky130_fd_sc_hd__and3b_2 U4816,"['A_N', 'B', 'C', 'X']","['n6197', 'n6198', 'n6199', 'n6200']"
4243,sky130_fd_sc_hd__buf_1 U4817,"['A', 'X']","['n6200', 'n613']"
4244,sky130_fd_sc_hd__and4_2 U4818,"['A', 'B', 'C', 'D', 'X']","['\\count_cycle[0]', '\\count_cycle[1]', '\\count_cycle[2]', '\\count_cycle[3]', 'n6201']"
4245,sky130_fd_sc_hd__o21ai_2 U4819,"['A1', 'A2', 'B1', 'Y']","['\\count_cycle[3]', 'n6197', 'n5744', 'n6202']"
4246,sky130_fd_sc_hd__a22o_2 U482,"['A1', 'A2', 'B1', 'B2', 'X']","['\\count_instr[16]', 'n2320', '\\count_cycle[48]', 'n2317', 'n2571']"
4247,sky130_fd_sc_hd__nor2_2 U4820,"['A', 'B', 'Y']","['n6201', 'n6202', 'n614']"
4248,sky130_fd_sc_hd__a21oi_2 U4821,"['A1', 'A2', 'B1', 'Y']","['\\count_cycle[4]', 'n6201', 'n5724', 'n6203']"
4249,sky130_fd_sc_hd__o21a_2 U4822,"['A1', 'A2', 'B1', 'X']","['\\count_cycle[4]', 'n6201', 'n6203', 'n615']"
4250,sky130_fd_sc_hd__and3_2 U4823,"['A', 'B', 'C', 'X']","['\\count_cycle[4]', '\\count_cycle[5]', 'n6201', 'n6204']"
4251,sky130_fd_sc_hd__a21o_2 U4824,"['A1', 'A2', 'B1', 'X']","['\\count_cycle[4]', 'n6201', '\\count_cycle[5]', 'n6205']"
4252,sky130_fd_sc_hd__and3b_2 U4825,"['A_N', 'B', 'C', 'X']","['n6204', 'n6198', 'n6205', 'n6206']"
4253,sky130_fd_sc_hd__buf_1 U4826,"['A', 'X']","['n6206', 'n616']"
4254,sky130_fd_sc_hd__and4_2 U4827,"['A', 'B', 'C', 'D', 'X']","['\\count_cycle[4]', '\\count_cycle[5]', '\\count_cycle[6]', 'n6201', 'n6207']"
4255,sky130_fd_sc_hd__buf_1 U4828,"['A', 'X']","['n6207', 'n6208']"
4256,sky130_fd_sc_hd__o21ai_2 U4829,"['A1', 'A2', 'B1', 'Y']","['\\count_cycle[6]', 'n6204', 'n5744', 'n6209']"
4257,sky130_fd_sc_hd__a221o_2 U483,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['\\count_instr[48]', 'n2305', '\\count_cycle[16]', 'n2375', 'n2571', 'n2572']"
4258,sky130_fd_sc_hd__nor2_2 U4830,"['A', 'B', 'Y']","['n6208', 'n6209', 'n617']"
4259,sky130_fd_sc_hd__and2_2 U4831,"['A', 'B', 'X']","['n2413', 'n6208', 'n6210']"
4260,sky130_fd_sc_hd__o21ai_2 U4832,"['A1', 'A2', 'B1', 'Y']","['n2413', 'n6208', 'n5744', 'n6211']"
4261,sky130_fd_sc_hd__nor2_2 U4833,"['A', 'B', 'Y']","['n6210', 'n6211', 'n618']"
4262,sky130_fd_sc_hd__and3_2 U4834,"['A', 'B', 'C', 'X']","['n2413', '\\count_cycle[8]', 'n6208', 'n6212']"
4263,sky130_fd_sc_hd__o21ai_2 U4835,"['A1', 'A2', 'B1', 'Y']","['\\count_cycle[8]', 'n6210', 'n5744', 'n6213']"
4264,sky130_fd_sc_hd__nor2_2 U4836,"['A', 'B', 'Y']","['n6212', 'n6213', 'n619']"
4265,sky130_fd_sc_hd__and2_2 U4837,"['A', 'B', 'X']","['\\count_cycle[8]', '\\count_cycle[9]', 'n6214']"
4266,sky130_fd_sc_hd__a31o_2 U4838,"['A1', 'A2', 'A3', 'B1', 'X']","['n2413', 'n6208', 'n6214', 'n5593', 'n6215']"
4267,sky130_fd_sc_hd__o21ba_2 U4839,"['A1', 'A2', 'B1_N', 'X']","['\\count_cycle[9]', 'n6212', 'n6215', 'n620']"
4268,sky130_fd_sc_hd__buf_1 U484,"['A', 'X']","['\\reg_pc[16]', 'n2573']"
4269,sky130_fd_sc_hd__and4_2 U4840,"['A', 'B', 'C', 'D', 'X']","['\\count_cycle[7]', '\\count_cycle[10]', 'n6207', 'n6214', 'n6216']"
4270,sky130_fd_sc_hd__a31o_2 U4841,"['A1', 'A2', 'A3', 'B1', 'X']","['n2413', 'n6208', 'n6214', '\\count_cycle[10]', 'n6217']"
4271,sky130_fd_sc_hd__and3b_2 U4842,"['A_N', 'B', 'C', 'X']","['n6216', 'n6198', 'n6217', 'n6218']"
4272,sky130_fd_sc_hd__buf_1 U4843,"['A', 'X']","['n6218', 'n621']"
4273,sky130_fd_sc_hd__and2_2 U4844,"['A', 'B', 'X']","['\\count_cycle[11]', 'n6216', 'n6219']"
4274,sky130_fd_sc_hd__buf_1 U4845,"['A', 'X']","['n5727', 'n6220']"
4275,sky130_fd_sc_hd__o21ai_2 U4846,"['A1', 'A2', 'B1', 'Y']","['\\count_cycle[11]', 'n6216', 'n6220', 'n6221']"
4276,sky130_fd_sc_hd__nor2_2 U4847,"['A', 'B', 'Y']","['n6219', 'n6221', 'n622']"
4277,sky130_fd_sc_hd__and3_2 U4848,"['A', 'B', 'C', 'X']","['\\count_cycle[11]', '\\count_cycle[12]', 'n6216', 'n6222']"
4278,sky130_fd_sc_hd__o21ai_2 U4849,"['A1', 'A2', 'B1', 'Y']","['\\count_cycle[12]', 'n6219', 'n6220', 'n6223']"
4279,sky130_fd_sc_hd__buf_1 U485,"['A', 'X']","['\\decoded_imm[16]', 'n2574']"
4280,sky130_fd_sc_hd__nor2_2 U4850,"['A', 'B', 'Y']","['n6222', 'n6223', 'n623']"
