,node,port,wire
6923,sky130_fd_sc_hd__buf_1 U7229,"['A', 'X']","['n1837', 'n1295']"
6924,sky130_fd_sc_hd__nand2_2 U723,"['A', 'B', 'Y']","['\\reg_pc[30]', '\\decoded_imm[30]', 'n2798']"
6925,sky130_fd_sc_hd__mux2_2 U7230,"['A0', 'A1', 'S', 'X']","['n7571', '\\cpuregs[6][11]', 'n1832', 'n1838']"
6926,sky130_fd_sc_hd__buf_1 U7231,"['A', 'X']","['n1838', 'n1296']"
6927,sky130_fd_sc_hd__buf_1 U7232,"['A', 'X']","['n1824', 'n1839']"
6928,sky130_fd_sc_hd__mux2_2 U7233,"['A0', 'A1', 'S', 'X']","['n7573', '\\cpuregs[6][12]', 'n1839', 'n1840']"
6929,sky130_fd_sc_hd__buf_1 U7234,"['A', 'X']","['n1840', 'n1297']"
6930,sky130_fd_sc_hd__mux2_2 U7235,"['A0', 'A1', 'S', 'X']","['n7576', '\\cpuregs[6][13]', 'n1839', 'n1841']"
6931,sky130_fd_sc_hd__buf_1 U7236,"['A', 'X']","['n1841', 'n1298']"
6932,sky130_fd_sc_hd__mux2_2 U7237,"['A0', 'A1', 'S', 'X']","['n7578', '\\cpuregs[6][14]', 'n1839', 'n1842']"
6933,sky130_fd_sc_hd__buf_1 U7238,"['A', 'X']","['n1842', 'n1299']"
6934,sky130_fd_sc_hd__mux2_2 U7239,"['A0', 'A1', 'S', 'X']","['n7580', '\\cpuregs[6][15]', 'n1839', 'n1843']"
6935,sky130_fd_sc_hd__or2_2 U724,"['A', 'B', 'X']","['\\reg_pc[30]', '\\decoded_imm[30]', 'n2799']"
6936,sky130_fd_sc_hd__buf_1 U7240,"['A', 'X']","['n1843', 'n1300']"
6937,sky130_fd_sc_hd__mux2_2 U7241,"['A0', 'A1', 'S', 'X']","['n7582', '\\cpuregs[6][16]', 'n1839', 'n1844']"
6938,sky130_fd_sc_hd__buf_1 U7242,"['A', 'X']","['n1844', 'n1301']"
6939,sky130_fd_sc_hd__mux2_2 U7243,"['A0', 'A1', 'S', 'X']","['n7584', '\\cpuregs[6][17]', 'n1839', 'n1845']"
6940,sky130_fd_sc_hd__buf_1 U7244,"['A', 'X']","['n1845', 'n1302']"
6941,sky130_fd_sc_hd__buf_1 U7245,"['A', 'X']","['n1824', 'n1846']"
6942,sky130_fd_sc_hd__mux2_2 U7246,"['A0', 'A1', 'S', 'X']","['n7586', '\\cpuregs[6][18]', 'n1846', 'n1847']"
6943,sky130_fd_sc_hd__buf_1 U7247,"['A', 'X']","['n1847', 'n1303']"
6944,sky130_fd_sc_hd__mux2_2 U7248,"['A0', 'A1', 'S', 'X']","['n7589', '\\cpuregs[6][19]', 'n1846', 'n1848']"
6945,sky130_fd_sc_hd__buf_1 U7249,"['A', 'X']","['n1848', 'n1304']"
6946,sky130_fd_sc_hd__nand2_2 U725,"['A', 'B', 'Y']","['n2798', 'n2799', 'n2800']"
6947,sky130_fd_sc_hd__mux2_2 U7250,"['A0', 'A1', 'S', 'X']","['n7591', '\\cpuregs[6][20]', 'n1846', 'n1849']"
6948,sky130_fd_sc_hd__buf_1 U7251,"['A', 'X']","['n1849', 'n1305']"
6949,sky130_fd_sc_hd__mux2_2 U7252,"['A0', 'A1', 'S', 'X']","['n7593', '\\cpuregs[6][21]', 'n1846', 'n1850']"
6950,sky130_fd_sc_hd__buf_1 U7253,"['A', 'X']","['n1850', 'n1306']"
6951,sky130_fd_sc_hd__mux2_2 U7254,"['A0', 'A1', 'S', 'X']","['n7595', '\\cpuregs[6][22]', 'n1846', 'n1851']"
6952,sky130_fd_sc_hd__buf_1 U7255,"['A', 'X']","['n1851', 'n1307']"
6953,sky130_fd_sc_hd__mux2_2 U7256,"['A0', 'A1', 'S', 'X']","['n7597', '\\cpuregs[6][23]', 'n1846', 'n1852']"
6954,sky130_fd_sc_hd__buf_1 U7257,"['A', 'X']","['n1852', 'n1308']"
6955,sky130_fd_sc_hd__buf_1 U7258,"['A', 'X']","['n1823', 'n1853']"
6956,sky130_fd_sc_hd__mux2_2 U7259,"['A0', 'A1', 'S', 'X']","['n7599', '\\cpuregs[6][24]', 'n1853', 'n1854']"
6957,sky130_fd_sc_hd__a21oi_2 U726,"['A1', 'A2', 'B1', 'Y']","['n2787', 'n2789', 'n2786', 'n2801']"
6958,sky130_fd_sc_hd__buf_1 U7260,"['A', 'X']","['n1854', 'n1309']"
6959,sky130_fd_sc_hd__mux2_2 U7261,"['A0', 'A1', 'S', 'X']","['n7602', '\\cpuregs[6][25]', 'n1853', 'n1855']"
6960,sky130_fd_sc_hd__buf_1 U7262,"['A', 'X']","['n1855', 'n1310']"
6961,sky130_fd_sc_hd__mux2_2 U7263,"['A0', 'A1', 'S', 'X']","['n7604', '\\cpuregs[6][26]', 'n1853', 'n1856']"
6962,sky130_fd_sc_hd__buf_1 U7264,"['A', 'X']","['n1856', 'n1311']"
6963,sky130_fd_sc_hd__mux2_2 U7265,"['A0', 'A1', 'S', 'X']","['n7606', '\\cpuregs[6][27]', 'n1853', 'n1857']"
6964,sky130_fd_sc_hd__buf_1 U7266,"['A', 'X']","['n1857', 'n1312']"
6965,sky130_fd_sc_hd__mux2_2 U7267,"['A0', 'A1', 'S', 'X']","['n7608', '\\cpuregs[6][28]', 'n1853', 'n1858']"
6966,sky130_fd_sc_hd__buf_1 U7268,"['A', 'X']","['n1858', 'n1313']"
6967,sky130_fd_sc_hd__mux2_2 U7269,"['A0', 'A1', 'S', 'X']","['n7610', '\\cpuregs[6][29]', 'n1853', 'n1859']"
6968,sky130_fd_sc_hd__xnor2_2 U727,"['A', 'B', 'Y']","['n2800', 'n2801', 'n2802']"
6969,sky130_fd_sc_hd__buf_1 U7270,"['A', 'X']","['n1859', 'n1314']"
6970,sky130_fd_sc_hd__mux2_2 U7271,"['A0', 'A1', 'S', 'X']","['n7612', '\\cpuregs[6][30]', 'n1824', 'n1860']"
6971,sky130_fd_sc_hd__buf_1 U7272,"['A', 'X']","['n1860', 'n1315']"
6972,sky130_fd_sc_hd__mux2_2 U7273,"['A0', 'A1', 'S', 'X']","['n7614', '\\cpuregs[6][31]', 'n1824', 'n1861']"
6973,sky130_fd_sc_hd__buf_1 U7274,"['A', 'X']","['n1861', 'n1316']"
6974,sky130_fd_sc_hd__nor2_2 U7275,"['A', 'B', 'Y']","['n5078', 'n5163', 'n1862']"
6975,sky130_fd_sc_hd__buf_1 U7276,"['A', 'X']","['n1862', 'n1863']"
6976,sky130_fd_sc_hd__buf_1 U7277,"['A', 'X']","['n1863', 'n1864']"
6977,sky130_fd_sc_hd__mux2_2 U7278,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][0]', 'n1635', 'n1864', 'n1865']"
6978,sky130_fd_sc_hd__buf_1 U7279,"['A', 'X']","['n1865', 'n1317']"
6979,sky130_fd_sc_hd__a21o_2 U728,"['A1', 'A2', 'B1', 'X']","['mem_rdata[30]', 'n2682', 'n2559', 'n2803']"
6980,sky130_fd_sc_hd__mux2_2 U7280,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][1]', 'n1640', 'n1864', 'n1866']"
6981,sky130_fd_sc_hd__buf_1 U7281,"['A', 'X']","['n1866', 'n1318']"
6982,sky130_fd_sc_hd__mux2_2 U7282,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][2]', 'n1642', 'n1864', 'n1867']"
6983,sky130_fd_sc_hd__buf_1 U7283,"['A', 'X']","['n1867', 'n1319']"
6984,sky130_fd_sc_hd__mux2_2 U7284,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][3]', 'n1644', 'n1864', 'n1868']"
6985,sky130_fd_sc_hd__buf_1 U7285,"['A', 'X']","['n1868', 'n1320']"
6986,sky130_fd_sc_hd__mux2_2 U7286,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][4]', 'n1646', 'n1864', 'n1869']"
6987,sky130_fd_sc_hd__buf_1 U7287,"['A', 'X']","['n1869', 'n1321']"
6988,sky130_fd_sc_hd__mux2_2 U7288,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][5]', 'n1648', 'n1864', 'n1870']"
6989,sky130_fd_sc_hd__buf_1 U7289,"['A', 'X']","['n1870', 'n1322']"
6990,sky130_fd_sc_hd__buf_1 U729,"['A', 'X']","['pcpi_rs1[30]', 'n2804']"
6991,sky130_fd_sc_hd__buf_1 U7290,"['A', 'X']","['n1863', 'n1871']"
6992,sky130_fd_sc_hd__mux2_2 U7291,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][6]', 'n1650', 'n1871', 'n1872']"
6993,sky130_fd_sc_hd__buf_1 U7292,"['A', 'X']","['n1872', 'n1323']"
6994,sky130_fd_sc_hd__mux2_2 U7293,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][7]', 'n1653', 'n1871', 'n1873']"
6995,sky130_fd_sc_hd__buf_1 U7294,"['A', 'X']","['n1873', 'n1324']"
6996,sky130_fd_sc_hd__mux2_2 U7295,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][8]', 'n1655', 'n1871', 'n1874']"
6997,sky130_fd_sc_hd__buf_1 U7296,"['A', 'X']","['n1874', 'n1325']"
6998,sky130_fd_sc_hd__mux2_2 U7297,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][9]', 'n1657', 'n1871', 'n1875']"
6999,sky130_fd_sc_hd__buf_1 U7298,"['A', 'X']","['n1875', 'n1326']"
7000,sky130_fd_sc_hd__mux2_2 U7299,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][10]', 'n1659', 'n1871', 'n1876']"
7001,sky130_fd_sc_hd__buf_1 U73,"['A', 'X']","['n2190', 'n2191']"
7002,sky130_fd_sc_hd__buf_1 U730,"['A', 'X']","['n2804', 'n2805']"
7003,sky130_fd_sc_hd__buf_1 U7300,"['A', 'X']","['n1876', 'n1327']"
7004,sky130_fd_sc_hd__mux2_2 U7301,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][11]', 'n1661', 'n1871', 'n1877']"
7005,sky130_fd_sc_hd__buf_1 U7302,"['A', 'X']","['n1877', 'n1328']"
7006,sky130_fd_sc_hd__buf_1 U7303,"['A', 'X']","['n1863', 'n1878']"
7007,sky130_fd_sc_hd__mux2_2 U7304,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][12]', 'n1663', 'n1878', 'n1879']"
7008,sky130_fd_sc_hd__buf_1 U7305,"['A', 'X']","['n1879', 'n1329']"
7009,sky130_fd_sc_hd__mux2_2 U7306,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][13]', 'n1666', 'n1878', 'n1880']"
7010,sky130_fd_sc_hd__buf_1 U7307,"['A', 'X']","['n1880', 'n1330']"
7011,sky130_fd_sc_hd__mux2_2 U7308,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][14]', 'n1668', 'n1878', 'n1881']"
7012,sky130_fd_sc_hd__buf_1 U7309,"['A', 'X']","['n1881', 'n1331']"
7013,sky130_fd_sc_hd__a32o_2 U731,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n2372', 'n2663', 'n2803', 'n2666', 'n2805', 'n2806']"
7014,sky130_fd_sc_hd__mux2_2 U7310,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][15]', 'n1670', 'n1878', 'n1882']"
7015,sky130_fd_sc_hd__buf_1 U7311,"['A', 'X']","['n1882', 'n1332']"
7016,sky130_fd_sc_hd__mux2_2 U7312,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][16]', 'n1672', 'n1878', 'n1883']"
7017,sky130_fd_sc_hd__buf_1 U7313,"['A', 'X']","['n1883', 'n1333']"
7018,sky130_fd_sc_hd__mux2_2 U7314,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][17]', 'n1674', 'n1878', 'n1884']"
7019,sky130_fd_sc_hd__buf_1 U7315,"['A', 'X']","['n1884', 'n1334']"
7020,sky130_fd_sc_hd__buf_1 U7316,"['A', 'X']","['n1863', 'n1885']"
7021,sky130_fd_sc_hd__mux2_2 U7317,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][18]', 'n1676', 'n1885', 'n1886']"
7022,sky130_fd_sc_hd__buf_1 U7318,"['A', 'X']","['n1886', 'n1335']"
7023,sky130_fd_sc_hd__mux2_2 U7319,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][19]', 'n1679', 'n1885', 'n1887']"
7024,sky130_fd_sc_hd__a211o_2 U732,"['A1', 'A2', 'B1', 'C1', 'X']","['n2359', 'n2802', 'n2806', 'n2670', 'n2807']"
7025,sky130_fd_sc_hd__buf_1 U7320,"['A', 'X']","['n1887', 'n1336']"
7026,sky130_fd_sc_hd__mux2_2 U7321,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][20]', 'n1681', 'n1885', 'n1888']"
7027,sky130_fd_sc_hd__buf_1 U7322,"['A', 'X']","['n1888', 'n1337']"
7028,sky130_fd_sc_hd__mux2_2 U7323,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][21]', 'n1683', 'n1885', 'n1889']"
7029,sky130_fd_sc_hd__buf_1 U7324,"['A', 'X']","['n1889', 'n1338']"
7030,sky130_fd_sc_hd__mux2_2 U7325,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][22]', 'n1685', 'n1885', 'n1890']"
7031,sky130_fd_sc_hd__buf_1 U7326,"['A', 'X']","['n1890', 'n1339']"
7032,sky130_fd_sc_hd__mux2_2 U7327,"['A0', 'A1', 'S', 'X']","['\\cpuregs[7][23]', 'n1687', 'n1885', 'n1891']"
7033,sky130_fd_sc_hd__buf_1 U7328,"['A', 'X']","['n1891', 'n1340']"
